ano, varid, pais, valor
2013,"DISP.CT","BRA",85654280545.9
2001,"DISP.CT","BRA",17655644708.1
2002,"DISP.CT","BRA",19756700759.9
2003,"DISP.CT","BRA",22278771403.2
2004,"DISP.CT","BRA",25437699184.9
2005,"DISP.CT","BRA",28179821413.3
2006,"DISP.CT","BRA",30540943171.9
2007,"DISP.CT","BRA",37468199825.6
2008,"DISP.CT","BRA",45420605222.7
2009,"DISP.CT","BRA",51398404305.5
2010,"DISP.CT","BRA",62223382450
2011,"DISP.CT","BRA",68196253109.4
2012,"DISP.CT","BRA",76466282841.6
2000,"DISP.CT","BRA",15839062071.5
